minecraft:acacia_button                           | [block] "Acacia Button"
minecraft:acacia_door                             | [block] "Acacia Door"
minecraft:acacia_fence                            | [block] "Acacia Fence"
minecraft:acacia_fence_gate                       | [block] "Acacia Fence Gate"
minecraft:acacia_hanging_sign                     | [block] "Acacia Hanging Sign"
minecraft:acacia_leaves                           | [block] "Acacia Leaves"
minecraft:acacia_log                              | [block] "Acacia Log"
minecraft:acacia_planks                           | [block] "Acacia Planks"
minecraft:acacia_pressure_plate                   | [block] "Acacia Pressure Plate"
minecraft:acacia_sapling                          | [block] "Acacia Sapling"
minecraft:acacia_sign                             | [block] "Acacia Sign"
minecraft:acacia_slab                             | [block] "Acacia Slab"
minecraft:acacia_stairs                           | [block] "Acacia Stairs"
minecraft:acacia_trapdoor                         | [block] "Acacia Trapdoor"
minecraft:acacia_wall_hanging_sign                | [block] "Acacia Wall Hanging Sign"
minecraft:acacia_wall_sign                        | [block] "Acacia Wall Sign"
minecraft:acacia_wood                             | [block] "Acacia Wood"
minecraft:activator_rail                          | [block] "Activator Rail"
minecraft:allium                                  | [block] "Allium"
minecraft:amethyst_block                          | [block] "Block of Amethyst"
minecraft:amethyst_cluster                        | [block] "Amethyst Cluster"
minecraft:ancient_debris                          | [block] "Ancient Debris"
minecraft:andesite                                | [block] "Andesite"
minecraft:andesite_slab                           | [block] "Andesite Slab"
minecraft:andesite_stairs                         | [block] "Andesite Stairs"
minecraft:andesite_wall                           | [block] "Andesite Wall"
minecraft:anvil                                   | [block] "Anvil"
minecraft:attached_melon_stem                     | [block] "Attached Melon Stem"
minecraft:attached_pumpkin_stem                   | [block] "Attached Pumpkin Stem"
minecraft:azalea                                  | [block] "Azalea"
minecraft:azalea_leaves                           | [block] "Azalea Leaves"
minecraft:azure_bluet                             | [block] "Azure Bluet"
minecraft:bamboo                                  | [block] "Bamboo"
minecraft:bamboo_block                            | [block] "Block of Bamboo"
minecraft:bamboo_button                           | [block] "Bamboo Button"
minecraft:bamboo_door                             | [block] "Bamboo Door"
minecraft:bamboo_fence                            | [block] "Bamboo Fence"
minecraft:bamboo_fence_gate                       | [block] "Bamboo Fence Gate"
minecraft:bamboo_hanging_sign                     | [block] "Bamboo Hanging Sign"
minecraft:bamboo_mosaic                           | [block] "Bamboo Mosaic"
minecraft:bamboo_mosaic_slab                      | [block] "Bamboo Mosaic Slab"
minecraft:bamboo_mosaic_stairs                    | [block] "Bamboo Mosaic Stairs"
minecraft:bamboo_planks                           | [block] "Bamboo Planks"
minecraft:bamboo_pressure_plate                   | [block] "Bamboo Pressure Plate"
minecraft:bamboo_sapling                          | [block] "Bamboo Shoot"
minecraft:bamboo_sign                             | [block] "Bamboo Sign"
minecraft:bamboo_slab                             | [block] "Bamboo Slab"
minecraft:bamboo_stairs                           | [block] "Bamboo Stairs"
minecraft:bamboo_trapdoor                         | [block] "Bamboo Trapdoor"
minecraft:bamboo_wall_hanging_sign                | [block] "Bamboo Wall Hanging Sign"
minecraft:bamboo_wall_sign                        | [block] "Bamboo Wall Sign"
minecraft:barrel                                  | [block] "Barrel"
minecraft:barrier                                 | [block] "Barrier"
minecraft:basalt                                  | [block] "Basalt"
minecraft:beacon                                  | [block] "Beacon"
minecraft:bedrock                                 | [block] "Bedrock"
minecraft:bee_nest                                | [block] "Bee Nest"
minecraft:beehive                                 | [block] "Beehive"
minecraft:beetroots                               | [block] "Beetroots"
minecraft:bell                                    | [block] "Bell"
minecraft:big_dripleaf                            | [block] "Big Dripleaf"
minecraft:big_dripleaf_stem                       | [block] "Big Dripleaf Stem"
minecraft:birch_button                            | [block] "Birch Button"
minecraft:birch_door                              | [block] "Birch Door"
minecraft:birch_fence                             | [block] "Birch Fence"
minecraft:birch_fence_gate                        | [block] "Birch Fence Gate"
minecraft:birch_hanging_sign                      | [block] "Birch Hanging Sign"
minecraft:birch_leaves                            | [block] "Birch Leaves"
minecraft:birch_log                               | [block] "Birch Log"
minecraft:birch_planks                            | [block] "Birch Planks"
minecraft:birch_pressure_plate                    | [block] "Birch Pressure Plate"
minecraft:birch_sapling                           | [block] "Birch Sapling"
minecraft:birch_sign                              | [block] "Birch Sign"
minecraft:birch_slab                              | [block] "Birch Slab"
minecraft:birch_stairs                            | [block] "Birch Stairs"
minecraft:birch_trapdoor                          | [block] "Birch Trapdoor"
minecraft:birch_wall_hanging_sign                 | [block] "Birch Wall Hanging Sign"
minecraft:birch_wall_sign                         | [block] "Birch Wall Sign"
minecraft:birch_wood                              | [block] "Birch Wood"
minecraft:black_banner                            | [block] "Black Banner"
minecraft:black_bed                               | [block] "Black Bed"
minecraft:black_candle                            | [block] "Black Candle"
minecraft:black_candle_cake                       | [block] "Cake with Black Candle"
minecraft:black_carpet                            | [block] "Black Carpet"
minecraft:black_concrete                          | [block] "Black Concrete"
minecraft:black_concrete_powder                   | [block] "Black Concrete Powder"
minecraft:black_glazed_terracotta                 | [block] "Black Glazed Terracotta"
minecraft:black_shulker_box                       | [block] "Black Shulker Box"
minecraft:black_stained_glass                     | [block] "Black Stained Glass"
minecraft:black_stained_glass_pane                | [block] "Black Stained Glass Pane"
minecraft:black_terracotta                        | [block] "Black Terracotta"
minecraft:black_wool                              | [block] "Black Wool"
