minecraft:acacia_button                           | [block] "Acacia Button"
minecraft:acacia_door                             | [block] "Acacia Door"
minecraft:acacia_fence                            | [block] "Acacia Fence"
minecraft:acacia_fence_gate                       | [block] "Acacia Fence Gate"
minecraft:acacia_hanging_sign                     | [block] "Acacia Hanging Sign"
minecraft:acacia_leaves                           | [block] "Acacia Leaves"
minecraft:acacia_log                              | [block] "Acacia Log"
minecraft:acacia_planks                           | [block] "Acacia Planks"
minecraft:acacia_pressure_plate                   | [block] "Acacia Pressure Plate"
minecraft:acacia_sapling                          | [block] "Acacia Sapling"
minecraft:acacia_sign                             | [block] "Acacia Sign"
minecraft:acacia_slab                             | [block] "Acacia Slab"
minecraft:acacia_stairs                           | [block] "Acacia Stairs"
minecraft:acacia_trapdoor                         | [block] "Acacia Trapdoor"
minecraft:acacia_wall_hanging_sign                | [block] "Acacia Wall Hanging Sign"
minecraft:acacia_wall_sign                        | [block] "Acacia Wall Sign"
minecraft:acacia_wood                             | [block] "Acacia Wood"
minecraft:activator_rail                          | [block] "Activator Rail"
minecraft:air                                     | [block] "Air"
minecraft:allium                                  | [block] "Allium"
minecraft:amethyst_block                          | [block] "Block of Amethyst"
minecraft:amethyst_cluster                        | [block] "Amethyst Cluster"
minecraft:ancient_debris                          | [block] "Ancient Debris"
minecraft:andesite                                | [block] "Andesite"
minecraft:andesite_slab                           | [block] "Andesite Slab"
minecraft:andesite_stairs                         | [block] "Andesite Stairs"
minecraft:andesite_wall                           | [block] "Andesite Wall"
minecraft:anvil                                   | [block] "Anvil"
minecraft:attached_melon_stem                     | [block] "Attached Melon Stem"
minecraft:attached_pumpkin_stem                   | [block] "Attached Pumpkin Stem"
minecraft:azalea                                  | [block] "Azalea"
minecraft:azalea_leaves                           | [block] "Azalea Leaves"
minecraft:azure_bluet                             | [block] "Azure Bluet"
minecraft:bamboo                                  | [block] "Bamboo"
minecraft:bamboo_block                            | [block] "Block of Bamboo"
minecraft:bamboo_button                           | [block] "Bamboo Button"
minecraft:bamboo_door                             | [block] "Bamboo Door"
minecraft:bamboo_fence                            | [block] "Bamboo Fence"
minecraft:bamboo_fence_gate                       | [block] "Bamboo Fence Gate"
minecraft:bamboo_hanging_sign                     | [block] "Bamboo Hanging Sign"
minecraft:bamboo_mosaic                           | [block] "Bamboo Mosaic"
minecraft:bamboo_mosaic_slab                      | [block] "Bamboo Mosaic Slab"
minecraft:bamboo_mosaic_stairs                    | [block] "Bamboo Mosaic Stairs"
minecraft:bamboo_planks                           | [block] "Bamboo Planks"
minecraft:bamboo_pressure_plate                   | [block] "Bamboo Pressure Plate"
minecraft:bamboo_sapling                          | [block] "Bamboo Shoot"
minecraft:bamboo_sign                             | [block] "Bamboo Sign"
minecraft:bamboo_slab                             | [block] "Bamboo Slab"
minecraft:bamboo_stairs                           | [block] "Bamboo Stairs"
minecraft:bamboo_trapdoor                         | [block] "Bamboo Trapdoor"
minecraft:bamboo_wall_hanging_sign                | [block] "Bamboo Wall Hanging Sign"
minecraft:bamboo_wall_sign                        | [block] "Bamboo Wall Sign"
minecraft:banner                                  | [block] "Fully Black Field"
minecraft:banner                                  | [block] "Fully Blue Field"
minecraft:banner                                  | [block] "Fully Brown Field"
minecraft:banner                                  | [block] "Fully Cyan Field"
minecraft:banner                                  | [block] "Fully Gray Field"
minecraft:banner                                  | [block] "Fully Green Field"
minecraft:banner                                  | [block] "Fully Light Blue Field"
minecraft:banner                                  | [block] "Fully Light Gray Field"
minecraft:banner                                  | [block] "Fully Lime Field"
minecraft:banner                                  | [block] "Fully Magenta Field"
minecraft:banner                                  | [block] "Fully Orange Field"
minecraft:banner                                  | [block] "Fully Pink Field"
minecraft:banner                                  | [block] "Fully Purple Field"
minecraft:banner                                  | [block] "Fully Red Field"
minecraft:banner                                  | [block] "Fully White Field"
minecraft:banner                                  | [block] "Fully Yellow Field"
minecraft:banner                                  | [block] "Black Bordure"
minecraft:banner                                  | [block] "Blue Bordure"
minecraft:banner                                  | [block] "Brown Bordure"
minecraft:banner                                  | [block] "Cyan Bordure"
minecraft:banner                                  | [block] "Gray Bordure"
minecraft:banner                                  | [block] "Green Bordure"
minecraft:banner                                  | [block] "Light Blue Bordure"
minecraft:banner                                  | [block] "Light Gray Bordure"
minecraft:banner                                  | [block] "Lime Bordure"
minecraft:banner                                  | [block] "Magenta Bordure"
minecraft:banner                                  | [block] "Orange Bordure"
minecraft:banner                                  | [block] "Pink Bordure"
minecraft:banner                                  | [block] "Purple Bordure"
minecraft:banner                                  | [block] "Red Bordure"
minecraft:banner                                  | [block] "White Bordure"
minecraft:banner                                  | [block] "Yellow Bordure"
minecraft:banner                                  | [block] "Black Field Masoned"
minecraft:banner                                  | [block] "Blue Field Masoned"
minecraft:banner                                  | [block] "Brown Field Masoned"
minecraft:banner                                  | [block] "Cyan Field Masoned"
minecraft:banner                                  | [block] "Gray Field Masoned"
minecraft:banner                                  | [block] "Green Field Masoned"
minecraft:banner                                  | [block] "Light Blue Field Masoned"
minecraft:banner                                  | [block] "Light Gray Field Masoned"
minecraft:banner                                  | [block] "Lime Field Masoned"
minecraft:banner                                  | [block] "Magenta Field Masoned"
minecraft:banner                                  | [block] "Orange Field Masoned"
